user_id,first_name ,last_name,date ,steps ,workouts ,calories_in,calories_out,join_date
109,Grace,Taylor,7/5/2025,8482,easy,1890,2674,4/9/2023
110,Thomas,Perez,8/15/2023,2243,medium,2318,2770,4/1/2024
111,Ryan,Wilson,1/20/2024,4526,hard,2069,2787,4/18/2024
112,Harrison,Brown,9/11/2024,6813,easy,2766,2951,5/8/2025
113,Luke,Nelson,9/8/2023,6677,hard,2838,2913,7/7/2025
114,Lily,Scott,10/29/2025,2470,easy,1965,2232,6/11/2025
115,Olivia,Hernandez,12/22/2025,4771,none,1995,2945,10/8/2025
116,Charles,Walker,10/31/2024,7187,hard,2989,2955,7/9/2023
117,Eli,Nelson,9/29/2024,3137,none,1823,2791,8/6/2023
118,Luke,Smith,11/23/2024,7969,medium,2258,2341,3/12/2023
119,Ava,Hall,6/29/2023,12752,easy,2385,2314,5/3/2024
120,Harrison,Davis,5/11/2025,5991,medium,1973,2242,2/21/2024
121,Sophia,Hernandez,7/16/2023,9690,easy,2548,2337,6/20/2023
122,Lily,Hall,4/7/2025,7935,hard,2272,2716,10/11/2023
123,Grace,Taylor,12/20/2024,10093,medium,1950,2993,6/30/2024
124,Joshua,Robinson,8/29/2024,10457,none,2657,2583,8/10/2025
125,Mia,Evans,4/19/2025,14823,hard,1848,2684,1/30/2023
126,Charlotte,Davis,8/14/2023,8931,medium,2662,2733,7/12/2025
127,Theodore,Robinson,11/12/2024,8171,medium,2413,2302,3/21/2024
128,Charles,Perez,1/14/2025,6506,easy,2251,2965,9/17/2023
129,Adam,Adams,1/9/2024,3273,hard,2047,2305,2/19/2024
130,Isabella,Thomas,3/16/2023,2723,medium,2712,2529,9/8/2023
131,Ryan,Hall,1/15/2024,4162,medium,2607,2742,12/9/2025
132,Charlotte,Adams,1/18/2023,8161,none,2480,2570,4/14/2025
133,Grace,Allen,10/11/2025,8943,medium,2392,2659,4/26/2024
134,Zachary,Robinson,3/18/2024,7683,hard,2935,2425,7/30/2023
135,Emily,Scott,2/10/2023,13418,medium,1941,2999,5/11/2024
136,Theodore,Taylor,11/1/2023,6528,medium,2290,2716,9/27/2023
137,Lily,Smith,1/29/2024,14041,hard,2665,2795,11/14/2023
138,Ella,Lee,2/2/2023,10467,easy,1841,2883,6/9/2024
139,Finn,Thomas,10/23/2024,7158,none,2951,2292,9/14/2023
140,Owen,Hernandez,6/26/2025,12279,easy,1999,2328,7/15/2023
141,Emily,Mitchell,3/16/2023,12155,none,2080,2555,8/14/2024
142,Lily,Carter,11/25/2023,7492,none,2358,2696,1/26/2025
143,Olivia,Nelson,4/25/2024,5259,easy,2939,2531,6/3/2025
144,Lily,Johnson,5/17/2024,11375,none,2640,2969,2/23/2024
145,Owen,Mitchell,7/21/2025,5606,easy,2151,2504,7/4/2024
146,Charles,Clark,8/29/2025,3016,hard,2048,2229,12/28/2023
147,Dylan,Evans,8/2/2023,4422,easy,2632,2629,8/25/2023
148,Owen,Carter,7/3/2023,8708,hard,2256,2783,3/26/2023
149,Grace,Evans,12/30/2024,14584,medium,2031,2626,5/4/2023
150,Chloe,Walker,9/7/2024,6480,medium,2097,2718,10/24/2025
151,Mia,Thomas,9/21/2024,3698,hard,2200,2223,6/10/2023
152,Zachary,Perez,10/30/2025,14019,easy,2507,2452,3/23/2025
153,Owen,Nelson,3/16/2024,2139,none,2552,2600,11/17/2025
154,Olivia,King,12/7/2025,6744,easy,2681,2435,11/22/2023
155,Grace,Wilson,4/25/2023,10518,hard,2311,2935,9/20/2024
156,Andrew,Baker,8/26/2024,8762,hard,2082,2208,8/30/2023
157,Chloe,Smith,1/1/2025,2373,medium,2781,2210,7/10/2025
158,Ryan,Brown,5/8/2024,12576,easy,2733,2577,2/22/2023
159,Luke,Scott,10/1/2025,3967,none,2478,2440,11/26/2023
160,Eli,Martin,11/27/2023,11464,medium,2614,2976,11/16/2023
161,Eli,Martin,9/14/2024,4472,medium,2824,2287,7/23/2023
162,Olivia,Evans,3/19/2025,4949,none,1940,2945,5/27/2024
163,Isabella,Adams,8/9/2024,2903,hard,2453,2221,5/30/2024
164,Ella,Wilson,7/13/2025,6111,easy,1898,2887,12/16/2023
165,Charles,Baker,6/18/2024,6295,easy,2387,2534,8/21/2024
166,Joshua,Johnson,6/21/2025,4268,medium,1978,2610,5/21/2025
167,Charlotte,Martin,12/16/2024,8275,medium,2403,2781,1/31/2024
168,Ryan,Mitchell,10/29/2025,14486,easy,2387,2308,12/1/2024
169,Emma,Evans,8/14/2025,7883,hard,2241,2705,5/16/2023
170,Lily,Wright,2/2/2025,3806,medium,2175,2233,9/15/2023
171,Luke,Thomas,9/26/2025,11641,easy,2432,2791,11/9/2023
172,Charlotte,Mitchell,10/8/2023,6802,hard,2822,2927,4/10/2023
173,Eli,King,1/13/2023,12643,none,2148,2641,9/29/2025
174,Michael,Johnson,5/27/2023,6472,medium,2371,2842,1/14/2025
175,Thomas,Adams,1/27/2025,7146,hard,2616,2226,5/29/2024
176,Joshua,Walker,5/16/2023,3000,easy,2806,2576,4/16/2024
177,Joshua,Martin,6/9/2025,11111,none,2600,2969,2/5/2025
178,Isabella,Moore,6/8/2024,7637,medium,2679,2831,12/9/2023
179,Olivia,Nelson,8/21/2025,2999,hard,2108,2827,5/31/2023
180,Adam,Moore,1/10/2024,3444,medium,2378,2992,4/27/2024
181,Finn,Perez,10/12/2024,4551,none,2667,2394,6/9/2024
182,Owen,Walker,4/11/2024,11882,easy,2994,2519,3/31/2024
183,Thomas,Mitchell,12/26/2024,5803,medium,2210,2274,7/26/2025
184,Olivia,King,11/2/2025,4242,easy,2577,2801,7/22/2023
185,Grace,Hill,7/22/2025,13588,medium,2302,2876,5/14/2024
186,Zachary,Wilson,5/27/2025,6029,hard,2835,2811,6/22/2023
187,Michael,Clark,11/25/2023,5654,easy,2344,2463,2/29/2024
188,Thomas,Evans,12/29/2025,3928,easy,2813,2667,9/14/2023
189,Finn,Martin,3/6/2023,12144,hard,2092,2724,6/11/2025
190,Ella,Brown,1/9/2024,4448,medium,2413,2328,12/2/2024
191,Chloe,Young,9/25/2025,12119,hard,1903,2656,10/6/2025
192,Michael,Wright,1/27/2024,3594,medium,1962,2835,1/7/2025
193,Sophia,Wilson,4/11/2024,7415,easy,2101,2888,8/20/2025
194,Emma,Hill,6/7/2024,9928,easy,2716,2438,8/12/2023
195,Mia,Evans,10/8/2023,13334,none,2412,2215,9/12/2024
196,Sophia,Thomas,5/29/2024,4250,none,2709,2214,1/19/2024
197,Charlotte,Smith,2/5/2025,4561,none,2693,2284,8/16/2023
198,Ava,Smith,5/8/2023,2272,medium,1903,2493,7/3/2025
199,Harrison,Davis,7/11/2024,4728,none,1846,2662,4/6/2024
200,Harrison,Young,6/10/2023,6446,hard,2530,2915,6/8/2023
201,Sophia,King,10/22/2025,8572,medium,3000,2705,11/4/2023
202,Owen,Martin,4/1/2024,5443,hard,2974,2862,8/22/2024
203,Mia,Lewis,2/25/2023,13387,medium,2156,2507,2/20/2024
204,Mia,King,1/12/2024,12011,hard,2904,2448,12/17/2025
205,Charlotte,Carter,11/7/2023,8379,medium,2175,2687,11/5/2023
206,Theodore,Young,9/27/2024,5044,easy,1928,2933,3/31/2025
207,Ava,Baker,9/22/2023,11233,none,2681,2899,2/8/2023
208,Finn,Davis,11/4/2025,12116,hard,2164,2501,1/8/2023
209,Ava,Allen,4/11/2025,8706,hard,2278,2248,1/12/2024
210,Emma,Davis,11/12/2024,9940,none,2531,2736,12/9/2025
211,Finn,Nelson,8/15/2023,4712,hard,2671,2800,3/21/2025
212,Eli,Allen,8/29/2024,11245,medium,2801,2883,4/6/2024
213,Zachary,Mitchell,2/14/2023,4006,medium,2900,2678,12/3/2023
214,Sophia,Taylor,6/24/2023,6771,hard,1956,2284,6/25/2025
215,Ryan,Mitchell,11/5/2024,6482,easy,1960,2477,9/3/2025
216,Mia,Young,9/26/2023,8986,hard,2983,2215,5/2/2025
217,Eli,Lee,9/18/2023,13663,none,2350,2769,2/11/2025
218,Thomas,Carter,7/28/2023,6161,easy,2514,2888,7/20/2024
219,Zachary,Mitchell,5/25/2024,10492,medium,1963,2246,12/15/2025
220,Eli,Young,2/18/2024,3689,hard,1884,2481,1/9/2025
221,Amelia,Carter,1/11/2025,8659,hard,2818,2613,8/12/2023
222,Joshua,Thomas,8/14/2025,6032,hard,1980,2365,4/19/2024
223,Dylan,Carter,7/31/2025,2536,easy,2334,2857,7/15/2025
224,Sophia,Lewis,1/30/2024,4706,easy,2116,2538,3/15/2024
225,Olivia,Taylor,1/18/2025,14491,hard,1826,2693,7/13/2023
226,Andrew,Smith,12/10/2023,5403,hard,2332,2884,5/30/2025
227,Isabella,Carter,5/16/2025,2315,hard,2749,2383,2/21/2025
228,Dylan,Davis,4/22/2024,6913,medium,2329,2753,5/29/2025
229,Mia,Mitchell,2/3/2024,5815,hard,1881,2418,5/5/2024
230,Zachary,Carter,1/5/2024,11158,none,2020,2484,7/31/2025
231,Harrison,Mitchell,10/6/2025,10388,none,2621,2558,8/16/2024
232,Charlotte,Robinson,5/22/2024,13019,easy,2797,2692,9/23/2023
233,Lily,Young,2/23/2024,3325,none,2069,2323,5/31/2024
234,Harrison,Martin,11/2/2023,8258,hard,2940,2416,3/15/2023
235,Thomas,Thomas,2/4/2024,11533,medium,1843,2973,10/4/2025
236,Charlotte,Lewis,2/2/2025,10741,easy,2893,2742,4/8/2025
237,Michael,Allen,3/27/2025,12988,easy,2742,2780,3/16/2024
238,Chloe,Walker,4/12/2025,11269,medium,2176,2568,4/16/2024
239,Ella,Baker,5/25/2024,8827,medium,1970,2369,10/7/2024
240,Grace,Wright,9/15/2024,12396,medium,1892,2564,2/4/2024
241,Lily,Mitchell,10/2/2024,3304,medium,2827,2819,9/5/2024
242,Charles,Lewis,5/28/2024,2810,medium,2601,2988,6/1/2024
243,Ava,Robinson,10/3/2024,13637,medium,2928,2316,1/1/2024
244,Thomas,Moore,6/1/2024,9144,easy,2219,2841,1/29/2023
245,Emma,Smith,10/19/2025,8103,medium,2890,2737,5/4/2025
246,Ryan,Young,11/1/2025,12275,hard,2504,2324,7/5/2023
247,Charlotte,Lewis,8/20/2025,3792,hard,2028,2446,2/25/2024
248,Michael,Hernandez,8/11/2024,14987,hard,2761,2700,9/24/2025
249,Harrison,Scott,7/16/2024,8638,easy,2833,2743,1/1/2023
250,Charles,Perez,1/30/2024,2952,none,1976,2379,3/22/2023
251,Theodore,Robinson,3/26/2023,7433,easy,2316,2348,7/10/2023
252,Amelia,Walker,4/3/2024,4122,easy,2317,2571,7/27/2024
253,Luke,Hall,7/14/2024,5269,hard,2066,2249,10/2/2023
254,Isabella,Brown,11/18/2023,10483,easy,2301,3000,7/25/2025
255,Charles,Walker,10/21/2023,3564,medium,1919,2529,2/18/2024
256,Sophia,Adams,3/20/2023,2369,none,2941,2410,12/27/2024
257,Charlotte,Perez,2/1/2024,8561,hard,2363,2837,8/11/2025
258,Emma,Clark,7/26/2024,2430,none,2065,2610,2/16/2025
259,Mia,Young,1/14/2025,2747,hard,2127,2235,2/15/2025
260,Grace,Thomas,8/10/2024,9400,easy,2135,2478,3/30/2024
261,Adam,Adams,8/4/2024,10143,easy,2278,2499,3/26/2024
262,Andrew,Wright,5/23/2025,13472,easy,2254,2547,4/28/2024
263,Charlotte,Evans,5/16/2024,3563,medium,2750,2297,7/29/2025
264,Amelia,Hernandez,2/26/2025,10563,none,2555,2635,5/23/2023
265,Ava,Davis,11/16/2023,5388,hard,2620,2691,6/22/2023
266,Sophia,Hall,11/14/2024,5091,easy,2811,2658,7/25/2024
267,Theodore,Thomas,5/11/2024,5465,easy,2280,2785,12/15/2023
268,Harrison,Davis,7/8/2023,6108,medium,2624,2875,7/18/2025
269,Luke,Walker,7/15/2024,8385,easy,2056,2489,11/17/2024
270,Charles,Wilson,2/19/2023,12489,hard,2443,2384,5/24/2023
271,Emily,Allen,12/25/2025,3796,hard,2653,2269,7/30/2024
272,Adam,Hernandez,8/15/2025,12608,none,2754,2800,3/6/2025
273,Isabella,Moore,4/20/2024,13476,medium,1950,2767,3/6/2025
274,Olivia,Brown,4/8/2024,8980,none,2111,2651,11/22/2025
275,Dylan,Martin,1/13/2025,13195,easy,2305,2592,12/4/2025
276,Lily,Taylor,1/18/2023,6037,none,2981,2773,5/27/2025
277,Owen,Allen,5/7/2024,9471,medium,2495,2710,5/19/2024
278,Emma,Robinson,8/29/2023,2464,hard,2653,2533,11/9/2024
279,Dylan,Davis,6/7/2023,4229,none,2078,2667,4/8/2024
280,Theodore,Evans,4/29/2025,4161,easy,2269,2711,9/4/2025
281,Joshua,Scott,9/1/2025,4882,hard,2365,2246,8/26/2023
282,Isabella,Lee,4/30/2025,4900,hard,2443,2400,6/2/2024
283,Michael,Martin,7/26/2025,13570,none,2221,2223,12/28/2023
284,Amelia,Perez,4/24/2023,2093,easy,2886,2552,6/14/2024
285,Ella,Hernandez,5/28/2025,3299,hard,2105,2841,2/2/2025
286,Emma,Davis,4/19/2023,4920,medium,2196,2931,11/5/2023
287,Sophia,Wilson,8/31/2025,5761,hard,2137,2656,1/25/2023
288,Olivia,Johnson,7/6/2024,3167,hard,2799,2330,9/1/2023
289,Ryan,Martin,3/11/2025,10790,none,2958,2578,6/29/2024
290,Dylan,Hill,11/26/2024,4222,hard,2630,2991,7/10/2023
291,Thomas,Lee,2/10/2025,2863,none,2827,2576,6/7/2025
292,Harrison,Lewis,6/11/2025,12645,medium,1813,2894,2/4/2023
293,Dylan,Baker,7/3/2024,6902,medium,2221,2242,7/31/2023
294,Grace,Taylor,3/3/2023,2251,hard,2685,2506,12/8/2023
295,Ryan,Taylor,10/21/2025,7718,none,1921,2591,7/25/2024
296,Charlotte,Robinson,12/18/2025,10131,none,1895,2858,10/28/2025
297,Ella,Perez,12/29/2025,14344,medium,2705,2760,8/6/2024
298,Olivia,Taylor,2/15/2023,6881,easy,2980,2692,10/25/2023
299,Charles,Allen,6/30/2023,3996,hard,2497,2900,4/19/2024
300,Isabella,Taylor,8/15/2025,14705,easy,2430,2332,3/26/2024
301,Chloe,Carter,11/4/2025,5705,none,2986,2623,2/4/2023
302,Michael,Martin,3/4/2023,10061,none,1956,2210,4/11/2023
303,Luke,Baker,2/14/2025,2564,none,2198,2460,11/30/2024
304,Dylan,Baker,1/1/2023,3275,medium,2702,2383,12/9/2023
305,Owen,Clark,2/7/2025,13167,none,1830,2267,4/22/2025
306,Lily,Carter,5/31/2023,2116,medium,1904,2703,2/6/2023
307,Olivia,Evans,3/8/2024,3817,medium,2210,2627,9/4/2023
308,Emma,Hall,1/22/2024,11847,none,2569,2362,5/6/2025
309,Emily,Hall,1/15/2023,12941,medium,2668,2819,3/22/2025
310,Andrew,Taylor,12/29/2024,8467,none,2405,2393,12/13/2023
311,Emily,Adams,1/20/2024,7653,hard,2801,2764,5/28/2024
312,Ella,Taylor,6/22/2023,4531,medium,2967,2733,5/26/2025
313,Michael,Allen,6/20/2025,6435,hard,2025,2849,4/8/2024
314,Dylan,Walker,6/20/2023,14198,none,2061,2405,6/18/2024
315,Finn,Lee,4/28/2025,6226,medium,2096,2503,5/22/2024
316,Harrison,Carter,12/27/2024,12571,medium,2588,2831,3/21/2025
317,Luke,Davis,2/10/2023,4398,none,2532,2283,8/23/2024
318,Ella,Taylor,2/9/2023,3940,none,2102,2709,11/12/2024
319,Andrew,Nelson,3/7/2025,10422,medium,2917,2229,8/3/2023
320,Olivia,Wilson,10/4/2025,12861,hard,2908,2748,3/29/2023
321,Charlotte,Lee,12/6/2023,2610,none,2507,2280,10/13/2023
322,Emily,Scott,4/12/2024,12836,hard,2326,2428,9/29/2023
323,Mia,Brown,9/15/2025,6387,medium,1845,2340,5/16/2023
324,Michael,Davis,9/10/2024,8346,medium,2396,2573,7/7/2023
325,Lily,Smith,6/25/2025,10321,easy,1806,2826,9/20/2025
326,Dylan,Lee,10/6/2025,2067,none,2182,2558,4/17/2025
327,Owen,Mitchell,4/5/2024,3294,hard,2990,2995,2/20/2025
328,Theodore,Carter,10/14/2024,6188,none,2165,2254,9/2/2023
329,Theodore,Davis,4/3/2023,8248,easy,2402,2942,4/5/2025
330,Lily,Hernandez,2/13/2024,3411,medium,2623,2805,4/25/2023
331,Chloe,Nelson,10/16/2024,8301,hard,2061,2523,10/2/2023
332,Zachary,Robinson,6/26/2023,14898,hard,2364,2818,12/26/2024
333,Luke,Hill,12/31/2024,2322,none,2380,2382,5/27/2025
334,Ava,Davis,1/1/2025,6279,easy,1854,2634,10/14/2024
335,Mia,Carter,3/15/2025,8406,none,2448,2846,5/18/2024
336,Zachary,Brown,1/2/2024,7658,medium,1984,2750,11/24/2024
337,Ryan,Thomas,2/8/2023,13421,medium,2241,2268,2/13/2025
338,Adam,Carter,7/16/2024,4939,hard,2149,2917,10/24/2023
339,Emily,Baker,9/9/2025,2703,medium,2686,2955,5/29/2023
340,Ava,King,9/13/2025,13719,easy,2201,2313,1/10/2025
341,Mia,Davis,11/28/2023,11513,medium,2363,2773,8/18/2024
342,Emma,Clark,8/25/2023,7669,medium,1933,2792,2/11/2024
343,Isabella,Martin,1/28/2025,4598,hard,2162,2365,1/4/2023
344,Andrew,Adams,5/27/2023,14481,medium,2693,2244,9/25/2024
345,Lily,Brown,1/23/2023,4456,easy,2448,2759,3/16/2025
346,Charles,Lee,5/21/2024,4415,none,2992,2922,4/24/2024
347,Joshua,Johnson,3/6/2023,7292,medium,2198,2990,7/24/2024
348,Charlotte,Allen,9/24/2024,7884,hard,1810,2906,11/10/2025
349,Charlotte,Hernandez,11/11/2025,14682,none,2354,2421,3/31/2023
350,Grace,Johnson,4/22/2023,3968,none,2035,2797,6/10/2023
351,Grace,Thomas,2/10/2023,8111,easy,2858,2972,8/2/2023
352,Mia,Lewis,6/30/2025,13423,easy,2400,2713,2/28/2024
353,Charles,Mitchell,8/11/2025,3857,none,1817,2593,7/31/2023
354,Owen,Smith,10/11/2025,9212,medium,2687,2537,2/1/2023
355,Dylan,Baker,9/5/2024,10189,none,2712,2842,8/23/2023
356,Emma,Clark,12/27/2023,10742,medium,2409,2914,7/14/2025
357,Zachary,Robinson,12/8/2023,13464,medium,2947,2791,1/23/2023
358,Isabella,Hernandez,5/12/2024,10048,none,2143,2379,11/25/2023
359,Ella,Robinson,9/10/2023,4945,easy,2972,2476,10/23/2025
360,Finn,Hall,5/8/2023,6499,none,1993,2384,12/16/2024
361,Emily,Allen,2/24/2024,6858,easy,2852,2532,4/8/2024
362,Theodore,Baker,2/14/2025,9439,medium,2724,2896,11/19/2023
363,Ella,Lee,4/20/2023,4744,medium,2452,2402,6/17/2025
364,Owen,King,11/28/2024,6540,easy,2918,2247,7/29/2024
365,Zachary,Allen,8/5/2024,6650,easy,2301,2313,8/13/2025
366,Dylan,Adams,12/30/2025,4763,easy,2696,2755,4/10/2024
367,Charles,Johnson,5/12/2024,7437,easy,2189,2992,7/23/2025
368,Eli,Wilson,7/17/2024,8727,medium,2554,2919,1/22/2023
369,Dylan,Martin,12/25/2023,12645,easy,2365,2564,5/1/2024
370,Thomas,Baker,2/12/2025,11514,none,2734,2946,6/9/2023
371,Charlotte,Johnson,10/12/2024,13811,none,2971,2376,7/5/2024
372,Luke,Young,12/28/2023,10146,easy,2524,2600,12/10/2023
373,Grace,Robinson,9/24/2023,4275,easy,2938,2971,10/22/2023
374,Charles,Hall,3/4/2023,2261,none,2470,2424,6/7/2023
375,Luke,Hernandez,11/1/2024,2497,medium,2751,2975,4/13/2024
376,Finn,Scott,3/18/2024,12000,none,2050,2498,2/27/2024
377,Amelia,Mitchell,4/27/2024,4991,easy,2417,2764,4/11/2024
378,Grace,Hill,9/25/2025,4651,none,1972,2883,8/14/2025
379,Mia,Clark,7/16/2023,10684,hard,2354,2449,11/8/2025
380,Harrison,Taylor,9/26/2024,9892,medium,2605,2259,8/2/2024
