user_id,first_name,last _name ,country,gender,join_date , goal/lose/maintain_gainweight
243,Lily,Baker,Spain,Female,5/16/2025,Gain weight
244,Olivia,Hill,France,Female,3/6/2025,Lose weight
245,Adam,Evans,France,Male,11/24/2024,Lose weight
246,Eli,Perez,Portugal,Male,6/29/2024,Gain weight
247,Isabella,Wright,Portugal,Female,7/9/2023,Maintain weight
248,Finn,Hernandez,Portugal,Male,4/16/2025,Maintain weight
249,Theodore,Davis,Portugal,Male,2/23/2025,Gain weight
250,Luke,Baker,Portugal,Male,10/20/2023,Gain weight
251,Isabella,Smith,France,Female,6/9/2023,Maintain weight
252,Luke,Nelson,Spain,Male,8/20/2024,Maintain weight
253,Emily,King,Germany,Female,12/21/2023,Gain weight
254,Chloe,Taylor,Italy,Female,8/18/2025,Lose weight
255,Ella,Allen,France,Female,11/9/2023,Gain weight
256,Finn,Baker,France,Male,2/25/2024,Lose weight
257,Sophia,Perez,Germany,Female,8/6/2023,Lose weight
258,Charlotte,Adams,Italy,Female,4/20/2024,Lose weight
259,Thomas,Wright,Spain,Male,9/5/2025,Gain weight
260,Emma,Thomas,Spain,Female,7/23/2023,Gain weight
261,Zoe,Mitchell,Italy,Female,7/27/2023,Maintain weight
262,Olivia,King,Germany,Female,9/10/2023,Maintain weight
263,Zoe,Moore,Spain,Female,10/15/2025,Maintain weight
264,Adam,Adams,Spain,Male,6/27/2025,Lose weight
265,Chloe,Moore,Portugal,Female,2/13/2023,Maintain weight
266,Zachary,Adams,Germany,Male,8/11/2025,Maintain weight
267,Michael,Perez,Italy,Male,4/3/2025,Gain weight
268,Luke,Thomas,Portugal,Male,9/9/2024,Maintain weight
269,Nathaniel,Wright,Germany,Male,6/5/2024,Lose weight
270,Joshua,Walker,Italy,Male,8/27/2024,Lose weight
271,Joshua,Walker,Spain,Male,9/11/2023,Gain weight
272,Isabella,Hernandez,France,Female,2/22/2023,Maintain weight
273,Ava,Robinson,Portugal,Female,7/9/2025,Lose weight
274,Olivia,Mitchell,France,Female,12/1/2025,Gain weight
275,Isabella,Wright,Italy,Female,4/20/2025,Gain weight
276,Emma,Hernandez,Italy,Female,4/26/2025,Maintain weight
277,Isabella,Smith,Portugal,Female,7/4/2025,Maintain weight
278,Charles,Johnson,Portugal,Male,6/25/2024,Maintain weight
279,Lily,Clark,Portugal,Female,3/12/2025,Maintain weight
280,Zoe,Walker,Portugal,Female,3/10/2023,Gain weight
281,Adam,Baker,Germany,Male,9/7/2025,Maintain weight
282,Grace,Wright,Italy,Female,4/7/2023,Gain weight
283,Ella,Baker,Italy,Female,10/10/2025,Maintain weight
284,Lily,Allen,Germany,Female,7/11/2024,Maintain weight
285,Lily,Taylor,Germany,Female,3/20/2023,Gain weight
286,Zachary,Martin,Italy,Male,2/10/2024,Maintain weight
287,Adam,Nelson,Spain,Male,1/30/2025,Maintain weight
288,Thomas,Taylor,Italy,Male,3/11/2025,Maintain weight
289,Theodore,Moore,Spain,Male,2/4/2024,Gain weight
290,Eli,Hernandez,Italy,Male,6/16/2024,Gain weight
291,Zoe,Nelson,France,Female,5/12/2024,Gain weight
292,Charles,Wilson,France,Male,9/19/2024,Maintain weight
293,Charlotte,Wilson,Spain,Female,6/20/2025,Maintain weight
294,Emma,Wright,Germany,Female,9/11/2025,Gain weight
295,Theodore,Wright,Spain,Male,7/10/2024,Maintain weight
296,Charlotte,Allen,Germany,Female,4/17/2024,Maintain weight
297,Chloe,Young,Spain,Female,7/19/2025,Maintain weight
298,Charlotte,Scott,France,Female,9/4/2023,Lose weight
299,Michael,Lewis,Germany,Male,8/15/2023,Maintain weight
300,Zoe,Brown,Germany,Female,9/2/2023,Maintain weight
301,Theodore,Evans,Portugal,Male,12/21/2024,Maintain weight
302,Charlotte,Wright,Spain,Female,2/27/2023,Maintain weight
303,Theodore,Scott,Germany,Male,2/5/2025,Lose weight
304,Grace,Lee,France,Female,10/18/2024,Maintain weight
305,Theodore,Smith,Spain,Male,10/2/2025,Gain weight
306,Sophia,Lee,Spain,Female,2/10/2024,Maintain weight
307,Adam,Moore,Germany,Male,3/27/2025,Gain weight
308,Adam,Lee,Spain,Male,4/23/2024,Maintain weight
309,Chloe,Lee,Germany,Female,10/7/2023,Gain weight
310,Zoe,Young,Spain,Female,10/1/2024,Maintain weight
311,Adam,Clark,France,Male,12/11/2023,Maintain weight
312,Charlotte,Scott,Portugal,Female,10/25/2023,Lose weight
313,Chloe,Wright,Spain,Female,4/5/2024,Maintain weight
314,Ava,Davis,Spain,Female,12/3/2023,Gain weight
315,Nathaniel,Walker,Italy,Male,1/14/2023,Gain weight
316,Sophia,Davis,Germany,Female,1/2/2024,Gain weight
317,Charles,Walker,Italy,Male,10/27/2024,Maintain weight
318,Luke,Young,Spain,Male,5/2/2023,Lose weight
319,Emily,Evans,Spain,Female,12/18/2024,Lose weight
320,Harrison,Robinson,Germany,Male,2/15/2023,Lose weight
321,Eli,Moore,Portugal,Male,12/2/2024,Maintain weight
322,Thomas,Walker,Portugal,Male,4/25/2023,Lose weight
323,Harrison,Allen,Germany,Male,2/15/2025,Lose weight
324,Grace,Hill,Germany,Female,1/5/2024,Gain weight
325,Sophia,Moore,Portugal,Female,5/13/2024,Lose weight
326,Olivia,Smith,Germany,Female,6/21/2025,Maintain weight
327,Finn,Smith,Spain,Male,12/13/2024,Maintain weight
328,Andrew,Hall,Spain,Male,4/14/2023,Maintain weight
329,Amelia,Thomas,Italy,Female,11/2/2024,Gain weight
330,Emma,Taylor,Germany,Female,6/25/2023,Lose weight
331,Chloe,King,Spain,Female,4/25/2025,Maintain weight
332,Andrew,Robinson,Portugal,Male,6/2/2025,Gain weight
333,Eli,Carter,Italy,Male,2/13/2024,Gain weight
334,Charles,Hernandez,Germany,Male,7/24/2023,Maintain weight
335,Finn,Hill,Portugal,Male,1/10/2024,Lose weight
336,Olivia,Taylor,Germany,Female,9/10/2023,Gain weight
337,Charlotte,Davis,France,Female,6/30/2023,Lose weight
338,Ava,Perez,Italy,Female,10/25/2024,Maintain weight
339,Olivia,Mitchell,Spain,Female,9/10/2024,Lose weight
340,Theodore,Nelson,Germany,Male,9/12/2023,Maintain weight
341,Charles,Thomas,Portugal,Male,9/3/2023,Maintain weight
342,Eli,Baker,France,Male,8/23/2023,Gain weight
343,Ella,Nelson,Spain,Female,10/2/2023,Lose weight
344,Zoe,Davis,Germany,Female,2/1/2023,Maintain weight
345,Sophia,Johnson,Germany,Female,6/29/2024,Gain weight
346,Eli,Nelson,Spain,Male,7/14/2023,Lose weight
347,Andrew,Hernandez,Spain,Male,1/3/2025,Gain weight
348,Luke,Hernandez,Germany,Male,9/13/2023,Maintain weight
349,Lily,Perez,Spain,Female,9/6/2025,Gain weight
350,Mia,Hill,Italy,Female,7/29/2023,Maintain weight
351,Charlotte,Carter,Germany,Female,11/20/2024,Lose weight
352,Harrison,Evans,France,Male,9/17/2024,Lose weight
353,Nathaniel,Brown,Portugal,Male,3/3/2024,Lose weight
354,Thomas,Perez,Italy,Male,8/15/2024,Gain weight
355,Zoe,Evans,Spain,Female,3/26/2024,Maintain weight
356,Grace,Young,Italy,Female,10/6/2025,Maintain weight
357,Charles,Johnson,Spain,Male,7/30/2024,Gain weight
358,Michael,Thomas,France,Male,9/20/2025,Lose weight
359,Amelia,Scott,Italy,Female,7/17/2025,Maintain weight
360,Nathaniel,Robinson,Italy,Male,2/27/2024,Gain weight
361,Emily,King,Spain,Female,12/11/2023,Gain weight
362,Amelia,Allen,Germany,Female,11/10/2023,Maintain weight
363,Theodore,Mitchell,Germany,Male,6/8/2024,Gain weight
364,Harrison,Young,Germany,Male,3/10/2024,Maintain weight
365,Chloe,Smith,France,Female,1/5/2025,Gain weight
366,Mia,Lee,Portugal,Female,4/29/2025,Lose weight
367,Andrew,Young,Portugal,Male,4/1/2024,Lose weight
368,Michael,Hill,France,Male,7/15/2024,Maintain weight
369,Emily,Scott,Portugal,Female,2/25/2023,Lose weight
370,Thomas,Taylor,Spain,Male,3/15/2023,Lose weight
371,Emma,Smith,France,Female,11/20/2023,Maintain weight
372,Charles,Hall,Portugal,Male,4/8/2024,Lose weight
373,Luke,Smith,Italy,Male,3/20/2023,Lose weight
374,Joshua,King,France,Male,4/10/2024,Lose weight
375,Emma,Young,Italy,Female,3/28/2024,Lose weight
376,Emma,Hill,Spain,Female,7/29/2025,Gain weight
377,Ella,Davis,Spain,Female,11/4/2024,Gain weight
378,Amelia,Walker,Germany,Female,10/20/2024,Maintain weight
379,Olivia,Taylor,Portugal,Female,12/23/2025,Maintain weight
380,Grace,Davis,Italy,Female,9/15/2024,Maintain weight
381,Ella,Brown,Portugal,Female,12/23/2025,Maintain weight
382,Mia,Carter,Spain,Female,10/28/2024,Lose weight
383,Zoe,Brown,Portugal,Female,11/16/2023,Lose weight
384,Nathaniel,Taylor,Portugal,Male,10/4/2023,Lose weight
385,Charlotte,Taylor,Italy,Female,9/1/2024,Gain weight
386,Theodore,Adams,Spain,Male,7/25/2024,Gain weight
387,Chloe,Davis,France,Female,5/28/2023,Lose weight
388,Sophia,Moore,Germany,Female,1/7/2024,Lose weight
389,Andrew,King,Germany,Male,12/14/2023,Gain weight
390,Ava,Moore,Germany,Female,8/10/2024,Lose weight
391,Nathaniel,Nelson,Italy,Male,2/1/2024,Gain weight
392,Theodore,Hall,Portugal,Male,7/18/2025,Lose weight
393,Chloe,Young,Italy,Female,11/3/2025,Maintain weight
394,Olivia,Perez,Portugal,Female,10/26/2023,Maintain weight
395,Olivia,Perez,France,Female,9/5/2024,Maintain weight
396,Sophia,Hernandez,France,Female,4/2/2023,Maintain weight
397,Thomas,Thomas,Italy,Male,6/24/2025,Gain weight
398,Ella,King,France,Female,12/1/2025,Lose weight
399,Emily,Wilson,Spain,Female,3/26/2024,Maintain weight
400,Isabella,Johnson,Portugal,Female,6/8/2025,Maintain weight
401,Michael,Clark,Germany,Male,11/26/2024,Gain weight
402,Nathaniel,Hill,Germany,Male,8/31/2024,Maintain weight
403,Isabella,Evans,Spain,Female,12/9/2025,Gain weight
404,Eli,Taylor,Portugal,Male,3/15/2025,Lose weight
405,Zoe,Taylor,France,Female,2/13/2024,Lose weight
406,Andrew,Hill,Portugal,Male,2/3/2025,Gain weight
407,Isabella,Perez,Italy,Female,9/20/2023,Lose weight
408,Zoe,Brown,France,Female,4/2/2024,Gain weight
409,Ella,Hernandez,France,Female,9/11/2024,Lose weight
410,Grace,Allen,Italy,Female,1/23/2023,Lose weight
411,Emma,Nelson,Germany,Female,8/15/2023,Gain weight
412,Charlotte,Wright,Germany,Female,11/27/2024,Gain weight
413,Joshua,Clark,Spain,Male,8/13/2025,Gain weight
414,Luke,Hall,Italy,Male,7/17/2023,Maintain weight
415,Theodore,Walker,Germany,Male,5/3/2023,Lose weight
416,Emma,Robinson,Portugal,Female,12/26/2025,Maintain weight
417,Thomas,Lee,Italy,Male,9/29/2023,Lose weight
418,Lily,Carter,Germany,Female,8/2/2023,Maintain weight
419,Joshua,Wilson,France,Male,5/29/2023,Gain weight
420,Joshua,Thomas,Germany,Male,1/17/2023,Gain weight
421,Mia,Taylor,France,Female,12/19/2023,Maintain weight
422,Michael,Hernandez,Spain,Male,9/9/2024,Lose weight
423,Sophia,Perez,Germany,Female,2/13/2024,Lose weight
424,Olivia,Martin,Portugal,Female,2/14/2024,Lose weight
425,Sophia,Hill,France,Female,1/13/2025,Gain weight
426,Ryan,Adams,Portugal,Male,8/3/2025,Gain weight
427,Ryan,Adams,Portugal,Male,8/10/2025,Lose weight
428,Isabella,Mitchell,Germany,Female,8/8/2025,Gain weight
429,Mia,Hall,Spain,Female,10/25/2023,Maintain weight
430,Ella,Baker,France,Female,11/28/2023,Maintain weight
431,Sophia,Lewis,France,Female,3/16/2025,Gain weight
432,Olivia,Baker,Italy,Female,3/3/2025,Lose weight
433,Thomas,Walker,Portugal,Male,11/16/2023,Gain weight
434,Harrison,Hall,France,Male,2/2/2024,Maintain weight
435,Thomas,Clark,Germany,Male,11/3/2024,Maintain weight
436,Joshua,Carter,Italy,Male,12/9/2023,Lose weight
437,Finn,Baker,France,Male,5/6/2024,Maintain weight
438,Nathaniel,Allen,Portugal,Male,3/9/2023,Lose weight
439,Andrew,Wright,Italy,Male,12/29/2025,Lose weight
440,Michael,Davis,Germany,Male,12/12/2025,Lose weight
441,Amelia,Moore,Italy,Female,3/20/2025,Maintain weight
442,Ava,King,Spain,Female,8/17/2024,Maintain weight
443,Adam,Evans,Italy,Male,8/22/2023,Lose weight
444,Ryan,Adams,Germany,Male,1/12/2025,Lose weight
445,Michael,Walker,Germany,Male,6/7/2024,Maintain weight
446,Nathaniel,Allen,Germany,Male,2/18/2025,Lose weight
